"id","tag","name","romanized_name","birthday","country","race","rating","position","sum_earnings"
22,"NesTea","임재덕","Lim Jae Duk","1982-12-12","KR","Z","1380",NULL,"279955"
1,"Leenock","이동녕","Lee Dong Nyoung","1995-04-01","KR","Z","2278",NULL,"277999"
12,"Bomber","최지성","Choi Ji Sung","1988-01-16","KR","T","1979",NULL,"256123"
11,"HerO","송현덕","Song Hyun Deok","1990-06-20","KR","P","1956",NULL,"255663"
15,"HyuN","고석현","Ko Seok Hyun","1988-01-15","KR","Z","1810",NULL,"234686"
58,"MaNa","Grzegorz Komincz",NULL,"1993-12-14","PL","P","2496",41,"231483"
7,"Rain","정윤종","Jung Yoon Jong","1992-08-14","KR","P","2232",NULL,"230519"
1659,"Dear","백동준","Baek Dong Jun","1994-04-25","KR","P","2622",NULL,"224029"
73,"Jaedong","이제동","Lee Je Dong","1990-01-09","KR","Z","1978",NULL,"221753"
2,"Creator","장현우","Jang Hyun Woo","1997-02-23","KR","P","2826",23,"209624"
14,"MarineKing","이정훈","Lee Jung Hoon","1993-07-11","KR","T","1523",NULL,"206257"
106,"aLive","한이석","Han Lee Seok","1992-11-16","KR","T","2105",NULL,"202162"
4105,"Kelazhur","Diego Guilherme Schwimer",NULL,"1995-10-10","BR","T","2669",32,"199875"
117,"SHIN","신희범","Shin Hee Bum","1996-09-03","KR","Z","3006",13,"194372"
4734,"Has","柯昱夆","Ke Yu Feng","1997-06-03","TW","P","2146",NULL,"185073"
422,"TRUE","방태수","Bang Tae Soo","1992-04-15","KR","Z","2085",NULL,"180570"
89,"NaNiwa","Johan Lucchesi","","1990-03-14","SE","P","2013",NULL,"176795"
8,"viOLet","김동환","Kim Dong Hwan","1990-12-05","KR","Z","2026",NULL,"176184"
575,"uThermal","Marc Schlappi",NULL,"1995-11-10","NL","T","2449",44,"173202"
1517,"Bunny","이재선","Lee Jae Sun","1995-09-11","KR","T","2836",21,"168965"
1652,"Patience","조지현","Jo Ji Hyun","1996-02-23","KR","P","2385",NULL,"152539"
27,"Sen","楊家正","Yang Chia Cheng","1987-01-15","TW","Z","1459",NULL,"152401"
145,"MacSed","胡翔","Hu Xiang","1988-10-04","CN","P","1928",NULL,"151988"
4134,"Astrea","Max Angel",NULL,"1997-03-08","US","P","2784",25,"150052"
72,"Bly","Олександр Свісюк","Aleksandr Svusyuk","1989-01-22","UA","Z","2382",47,"149410"
4049,"Lambo","Julian Brosig",NULL,"1995-11-10","DE","Z","2853",20,"148886"
34,"ForGG","박지수","Park Ji Soo","1990-02-13","KR","T","2148",NULL,"147810"
5945,"iAsonu","周航","Zhou Hang","1992-11-19","CN","Z","2229",NULL,"145916"
251,"MaSa","Maru Kim",NULL,"1995-03-20","CA","T","2155",NULL,"144629"
45,"Soulkey","김민철","Kim Min Chul","1991-12-10","KR","Z","1931",NULL,"141760"
126,"PuMa","이호준","Lee Ho Joon","1991-07-23","KR","T","1337",NULL,"141584"
160,"XiGua","王磊","Wang Lei","1987-01-14","CN","Z","1763",NULL,"139108"
5087,"PtitDrogo","Théo Freydière",NULL,"1995-11-09","FR","P","2306",NULL,"138775"
129,"HuK","Chris Loranger",NULL,"1989-05-10","CA","P","1790",NULL,"138575"
1557,"Hydra","신동원","Shin Dong Won","1991-09-04","KR","Z","2337",NULL,"136051"
276,"Jim","曹晋珲","Cao Jinhun","1995-10-10","CN","P","1679",NULL,"134838"
214,"Harstem","Kevin de Koning",NULL,"1994-07-28","NL","P","2607",34,"133032"
35,"Ryung","김동원","Kim Dong Won","1991-04-16","KR","T","2692",29,"131877"
109,"Dream","조중혁","Cho Joong Hyuk","1996-10-27","KR","T","2685",NULL,"130286"
161,"TooDming","黄慧明","Huang Huiming","1988-10-07","CN","Z","1815",97,"127972"
29,"jjakji","정지훈","Jung Ji Hoon","1994-02-16","KR","T","2161",NULL,"127909"
1098,"Cham","Pablo Cham",NULL,"1997-02-19","MX","Z","2480",42,"118614"
4452,"Spirit","Piotr Walukiewicz",NULL,"1998-10-08","PL","T","2737",27,"115074"
185,"StarDust","손석희","Son Seok Hee","1990-05-27","KR","P","1843",NULL,"112614"
7956,"Cyan","黄旻","Huang Min","1992-10-28","CN","P","2338",51,"111585"
51,"San","강초원","Kang Cho Won","1990-05-14","KR","P","1884",NULL,"111014"
123,"TLO","Dario Wünsch",NULL,"1990-07-13","DE","Z","2114",65,"108557"
79,"ByuL","한지원","Han Ji Won","1992-08-07","KR","Z","2302",NULL,"106614"
52,"VortiX","Juan Moreno Duran","","1993-09-10","ES","Z","2107",NULL,"106480"
223,"FruitDealer","김원기","Kim Won Ki","1985-07-27","KR","Z","1204",NULL,"102641"
31,"Losira","황강호","Hwang Kang Ho","1992-04-11","KR","Z","1969",NULL,"102448"
54,"YoDa","최병현","Choi Byung Hyun","1992-12-24","KR","T","1736",NULL,"101774"
317,"Nina","Alison Qual",NULL,"1990-08-15","US","P","2081",NULL,"101540"
139,"ThorZaIN","Marcus Eklöf",NULL,"1991-02-09","SE","T","1571",NULL,"98047"
19591,"MaxPax",NULL,NULL,"2004-07-01","DK","P","3471",3,"97902"
24,"KeeN","황규석","Hwang Kyu Seok","1994-10-02","KR","T","2520",40,"93783"
68,"Hurricane","남기웅","Nam Ki Woong","1995-11-18","KR","P","2350",NULL,"93414"
1649,"MarineLorD","Alexis Eusebio",NULL,"1995-06-01","FR","T","2553",NULL,"93284"
5064,"Lilbow","David Moschetto",NULL,"1995-06-27","FR","P","2103",NULL,"89171"
8106,"Nice","黄昱翔","Huang Yu Shiang","1999-05-15","TW","P","2198",57,"89036"
18,"Symbol","강동현","Kang Dong Hyun","1992-01-02","KR","Z","1801",NULL,"88730"
43,"Genius","정민수","Jung Min Soo","1991-08-01","KR","P","1539",NULL,"87094"
1813,"Bunny","Patrick Brix","","1992-12-04","DK","T","1924",NULL,"86152"
75,"SortOf","Rickard Bergman",NULL,"1993-07-24","SE","Z","2166",62,"85572"
4120,"Probe","Sean Kempen","","1996-12-13","AU","P","2110",NULL,"83062"
17,"Squirtle","박현우","Park Hyun Woo","1992-07-06","KR","P","1597",NULL,"82622"
41,"Kas","Михайло Гайда","Mikhaylo Hayda","1988-11-25","UA","T","1929",NULL,"82588"
39,"First","강현우","Kang Hyun Woo","1992-06-11","KR","P","1860",NULL,"81888"
83,"HasuObs","Dennis Schneider","","1988-05-26","DE","P","1479",NULL,"81445"
86,"Alicia","양준식","Yang Joon Sik","1987-08-01","KR","P","1489",NULL,"81058"
1660,"Impact","김준혁","Kim Joon Hyuk","1995-09-07","KR","Z","2383",NULL,"80427"
249,"XY","向瑶","Xiang Yao","1987-05-14","CN","T","1959",NULL,"79610"
4521,"DnS","Adrien Bouet",NULL,"1996-04-19","FR","P","2345",49,"78837"
152,"DIMAGA","Дмитро Філіпчук","Dmytro Filipchuk","1986-06-03","UA","Z","1940",81,"78310"
2053,"Zoun","박한솔","Park Han Sol","1997-06-17","KR","P","2845",NULL,"75594"
16,"Curious","이원표","Lee Won Pyo","1990-03-28","KR","Z","1811",NULL,"74199"
82,"Oz","김학수","Kim Hak Soo","1989-04-23","KR","P","1633",NULL,"73593"
80,"RorO","신노열","Shin No Yeol","1991-01-19","KR","Z","1720",NULL,"72278"
55,"Flash","이영호","Lee Young Ho","1992-07-05","KR","T","1995",NULL,"71486"
163,"Socke","Giacomo Thüs",NULL,"1987-02-02","DE","P","1461",NULL,"71166"
21,"Seed","안상원","Ahn Sang Won","1991-01-13","KR","P","1559",NULL,"70592"
2566,"Armani","박진혁","Park Jin Hyuk","1996-04-29","KR","Z","2269",NULL,"70175"
208,"Ret","Joseph de Kroon","","1985-11-03","NL","Z","1598",NULL,"69973"
8676,"SKillous","Никита Гуревич","Nikita Gurevich","2001-04-17","RU","P","2798",24,"67181"
95,"Happy","Дмитрий Костин","Dmitry Kostin","1991-06-17","RU","T","2033",NULL,"65413"
50,"LucifroN","Pedro Moreno Durán","","1991-10-31","ES","T","1576",NULL,"64665"
155,"IdrA","Gregory Fields",NULL,"1990-08-21","US","Z","1240",NULL,"64643"
9,"Sniper","권태훈","Kwon Tae Hoon","1995-01-22","KR","Z","1455",NULL,"63980"
4198,"Zanster","Anton Dahlström","","1996-11-21","SE","Z","2008",NULL,"63973"
153,"Welmu","Vesa Matti Hovinen","","1993-12-05","FI","P","1811",NULL,"62846"
882,"iaguz","Ethan Zugai","","1990-11-09","AU","Z","1726",NULL,"61311"
144,"Grubby","Manuel Schenkhuizen",NULL,"1986-05-11","NL","P","1501",NULL,"61129"
90,"Revival","김동현","Kim Dong Hyun","1992-01-31","KR","Z","1629",NULL,"59678"
4723,"Namshar","Christoffer Kolmodin",NULL,"1993-01-16","SE","Z","2197",58,"59442"
42,"Heart","김민혁","Kim Min Hyuk","1990-11-16","KR","T","1743",NULL,"57270"
32,"SuperNova","김영진","Kim Young Jin","1990-05-17","KR","T","1799",NULL,"56337"
164,"White-Ra","Олексій Крупник","Aleksey Krupnyk","1980-11-15","UA","P","1142",NULL,"56135"
4370,"GunGFuBanDa","Fabian Mayer",NULL,"1998-04-23","DE","P","2524",39,"54442"
9990,"Seither","Sheldon Barrow",NULL,"1994-06-29","AU","T","1853",NULL,"51707"
655,"FireCake","Sébastien Lebbe",NULL,"1990-04-27","FR","Z","1739",NULL,"51662"
37,"duckdeok","김경덕","Kim Kyeong Deok","1995-01-27","KR","P","1656",NULL,"51576"
8913,"Gerald","Mateusz Budziak",NULL,"1998-10-16","PL","P","2346",48,"50777"
13216,"Wayne","Иван Чепурнов","Ivan Chepurnov","2001-06-09","RU","Z","2570",35,"50215"
4388,"JonSnow","Jarod George","","1997-01-13","US","Z","1903",NULL,"49180"
13017,"Future","Joseph Stanish",NULL,"2002-05-09","US","T","2458",43,"49102"
5933,"Jieshi","胡家骏","Hu Jiajun","1995-11-05","CN","P","2330",52,"48278"
300,"FanTaSy","정명훈","Jung Myung Hoon","1991-07-01","KR","T","2505",NULL,"47471"
65,"July","박성준","Park Sung Joon","1986-12-18","KR","Z","1326",NULL,"46957"
92,"kiwian","김정훈","Kim Jung Hoon","1990-11-26","KR","T","1833",NULL,"46256"
267,"Dayshi","Antoine Stievenart","","1994-08-08","FR","T","1869",NULL,"44180"
146,"TargA","Kristoffer Marthinsen",NULL,"1990-04-15","NO","Z","1787",NULL,"44142"
131,"Brat_OK","Павел Кузнецов","Pavel Kuznetsov","1987-01-03","RU","T","1837",NULL,"44099"
103,"elfi","Samuli Sihvonen","","1990-10-24","FI","P","1694",NULL,"43193"
151,"MorroW","Carl Stefan Andersson","","1992-08-11","SE","P","1398",NULL,"43058"
12125,"MeomaikA","Trần Hồng Phúc","Tran Hong Phuc","1994-01-12","VN","Z","1968",80,"42088"
169,"HalfBreed","Felipe Zuñiga","","1989-12-16","CL","Z","1548",NULL,"41916"
206,"RainBOw","김성제","Kim Seong Je","1984-02-08","KR","T","1432",NULL,"41264"
128,"SaSe","Kim Hammar",NULL,"1987-07-12","SE","P","1531",NULL,"40842"
2309,"Rex","雷皓成","Lei Haocheng","1993-04-23","TW","Z","2014",74,"40539"
38,"TheStC","최연식","Choi Yeon Sik","1989-01-02","KR","T","1476",NULL,"40525"
105,"Super","서성민","Seo Sung Min","1994-05-01","KR","P","2058",NULL,"39671"
200,"SeleCT","류경현","Ryoo Kyung Hyun","1988-10-21","KR","T","1083",NULL,"39257"
224,"SjoW","Jeffrey Brusi",NULL,"1986-12-23","SE","T","1387",NULL,"38711"
4564,"Denver","Clément Coste",NULL,"1997-04-10","FR","Z","2468",NULL,"38613"
5409,"ShaDoWn","Thomas Labrousse",NULL,"1995-07-21","FR","P","2292",53,"38564"
1148,"EnDerr","Caviar Napoleon Marquises-Acampado",NULL,"1992-12-02","PH","Z","1883",NULL,"38267"
5499,"PiLiPiLi","Павел Пилипенко","Pavel Pilipenko","1996-05-11","US","P","2077",NULL,"36991"
87,"Golden","조명환","Jo Myung Hwan","1994-07-19","KR","Z","1698",NULL,"36892"
8980,"Coffee","吴奕棽","Wu Yishen","1999-12-05","CN","T","2422",46,"36552"
2567,"Pigbaby","양희수","Yang Hee Soo","1992-12-14","KR","P","1763",NULL,"36490"
21244,"trigger",NULL,NULL,"2002-07-11","CA","P","2427",45,"35528"
121,"DeMusliM","Benjamin Baker","","1990-01-24","UK","T","1882",NULL,"34996"
119,"mOOnGLaDe","Andrew Pender","","1986-07-14","AU","Z","1378",NULL,"34393"
310,"Top","胡涛","Hu Tao","1990-01-29","CN","P","1579",NULL,"34304"
46,"JYP","박진영","Park Jin Young","1991-10-13","KR","P","1333",NULL,"34294"
2568,"Trust","최성일","Choi Sung Il","1995-04-12","KR","P","2110",NULL,"34286"
13361,"Firefly","薛涛","Xue Tao","2000-10-02","CN","P","2671",31,"33879"
1709,"MyuNgSiK","김명식","Kim Myung Sik","1994-11-05","KR","P","1991",NULL,"33381"
104,"Rain","박서용","Park Seo Yong","1993-12-04","KR","T","1378",NULL,"33175"
93,"NaDa","이윤열","Lee Yun Yeol","1984-11-20","KR","T","1257",NULL,"32999"
353,"Lyn","박준","Park Joon","1986-12-21","KR","T","1541",NULL,"32997"
221,"ViBE","Dan Scherlong","","1987-05-09","US","Z","1525",NULL,"32910"
910,"JimRising","Jaime Arturo Duran Silencio",NULL,"1990-10-12","MX","Z","1698",NULL,"32460"
141,"InCa","송준혁","Song Joon Hyuk","1991-07-23","KR","P","1060",NULL,"32108"
5118,"Semper","Alex Dimitriu",NULL,"1995-09-06","CA","T","1905",NULL,"32031"
274,"Rail","Артём Авраменко","Artem Avramenko","1993-12-15",NULL,"P","2082",NULL,"32020"
8148,"NightMare","장욱","Jang Wook","1999-02-23","KR","P","2874",18,"31513"
14887,"Krystianer","Krystian Szczęsny",NULL,"2004-01-29","PL","P","2527",38,"31407"
242,"Loner","戴逸","Dai Yi","1991-02-10","CN","T","1318",NULL,"31028"
20,"YongHwa","최용화","Choi Yong Hwa","1992-01-30","KR","P","1657",NULL,"30988"
57,"GanZi","김동주","Kim Dong Joo","1987-12-30","KR","T","1382",NULL,"30870"
193,"GoOdy","Sascha Lupp","","1985-10-27","DE","T","1498",NULL,"30688"
246,"PiG","Jared Krensel",NULL,"1988-12-11","AU","Z","1627",127,"29947"
107,"Suppy","Conan Liu","","1993-03-05","US","Z","1712",NULL,"29867"
175,"Bbyong","정우용","Jung Woo Yong","1992-09-08","KR","T","2103",NULL,"29656"
70,"Moon","장재호","Jang Jae Ho","1986-12-14","KR","Z","1405",NULL,"29528"
747,"Petraeus","Mackenzie Smith","","1996-06-25","NZ","Z","1753",NULL,"29354"
1655,"Kane","Sam Morrissette","","1992-11-16","CA","Z","1827",NULL,"28684"
10953,"Hellraiser","Богдан Козар","Bogdan Kozar","1998-12-28","UA","P","2330",NULL,"28407"
174,"ToD","Yoan Merlo",NULL,"1985-03-20","FR","P","1375",NULL,"28139"
941,"Sacsri","이예훈","Lee Yeh Hoon","1992-02-18","KR","Z","1908",NULL,"27842"
136,"HongUn","안홍욱","Ahn Hong Wook","1987-03-26","KR","P","1104",NULL,"27738"
7958,"Erik","Erik Bermelho",NULL,"1996-11-20","BR","Z","2176",60,"27711"
8169,"Vindicta","Miguel Marmolejo",NULL,"2000-11-23","US","T","2111",66,"27028"
189,"BlinG","Samayan Kay","","1991-11-07","UK","P","1459",NULL,"26946"
2453,"RiSky","Joshua Hayward",NULL,"1996-02-27","UK","Z","2036",NULL,"26927"
9846,"goblin","Leon Vrhovec",NULL,"2002-02-03","HR","P","2252",55,"26812"
195,"Billowy","김도경","Kim Do Kyung","1994-08-19","KR","P","1998",NULL,"26801"
271,"Jinro","Jonathan Walsh","","1989-01-14","SE","T","1116",NULL,"26710"
261,"qxc","Kevin Riley","","1989-10-11","US","T","1620",NULL,"26583"
81,"Zenio","최정민","Choi Jung Min","1991-03-31","KR","Z","1335",NULL,"25194"
112,"TAiLS","김원형","Kim Won Hyung","1992-08-02","KR","P","1706",NULL,"24823"
74,"sC","김승철","Kim Seung Chul","1995-02-14","KR","T","1486",NULL,"24699"
88,"sLivko","Артём Гаравцов","Artem Garavtsov","1989-08-27","RU","Z","1319",NULL,"24647"
172,"Strelok","Євген Опаришев","Evhen Oparyshev","1985-05-25","UA","T","1489",NULL,"24610"
11820,"ExpecT","","Tsung Yen Wu",NULL,"TW","T","1662",NULL,"24536"
187,"Adelscott","Benoît Strypsteen",NULL,"1985-09-23","FR","P","1138",NULL,"24506"
115,"BabyKnight","Jon Andersen",NULL,"1992-06-15","DK","P","1499",NULL,"24231"
381,"Reality","김기현","Kim Ki Hyun","1993-06-06","KR","T","2256",NULL,"23940"
192,"Naama","Santeri Lahtinen",NULL,"1992-10-13","FI","T","1049",NULL,"23888"
60,"TitaN","Олег Купцов","Oleg Kuptsov","1989-11-04","RU","P","1375",NULL,"23779"
243,"Minigun","Chad Richard Jones",NULL,"1990-07-10","US","P","1393",NULL,"23590"
210,"Tefel","Łukasz Czarnecki","","1988-01-18","PL","Z","1605",NULL,"23380"
140,"NightEnD","Silviu Lazar","","1988-02-19","RO","P","1608",NULL,"23257"
365,"KingKong","유충희","Yoo Choong Hee","1990-04-26","KR","Z","1956",NULL,"23246"
9314,"DisK","Alexandre Corriveau",NULL,"1997-01-01","CA","P","2210",56,"23218"
537,"Ian","呂家宏","Lu Jiahong","1990-08-31","TW","Z","1226",NULL,"22605"
113,"Swagger","신상호","Shin Sang Ho","1990-02-09","KR","P","1319",NULL,"22588"
15204,"ButAlways","Chen Ting Yu",NULL,NULL,"TW","P","1701",NULL,"22231"
8359,"GogojOey",NULL,NULL,NULL,"HK","Z","1931",82,"22115"
56,"Hack","김영일","Kim Young Il","1994-08-15","KR","T","1749",NULL,"21844"
220,"Ensnare","김상철","Kim Sang Cheol","1987-09-21","KR","T","1160",NULL,"21641"
978,"PSiArc","西村　直紘","Nishimura Naohiro","1989-07-18","JP","T","1852",93,"21612"
6058,"Silky","Nick McNeese",NULL,"1996-09-01","US","Z","2263",54,"21292"
215,"Arthur","윤명혁","Yoon Myung Hyuk",NULL,"KR","P","1616",NULL,"21232"
216,"Kyrix","한준","Han Joon","1993-03-16","KR","Z","1096",NULL,"21040"
219,"Illusion","이유성","Yoo Sung 'Chris' Lee","1996-03-04","US","T","1366",NULL,"20545"
1819,"Xenocider","Libo Chang",NULL,"1997-08-12","US","T","1617",NULL,"20365"
5109,"Demi",NULL,"Varun Immanuel",NULL,"IN","Z","1654",121,"20336"
156,"Fenix","Jian Carlo Morayra Alejo",NULL,"1992-06-03","PE","T","1012",NULL,"20189"
78,"monchi","Phillip Simon",NULL,NULL,"AT","P","1218",NULL,"20017"
124,"BoxeR","임요환","Lim Yo Hwan","1980-09-04","KR","T","1262",NULL,"19960"
1978,"Sora","김정훈","Kim Jung Hoon","1994-02-14","KR","P","1775",NULL,"19866"
114,"AcE","정우서","Jung Woo Seo","1988-10-17","KR","P","1365",NULL,"19570"
118,"Beastyqt","Александар Крстић","Aleksandar Krstic","1990-12-29","RS","T","1825",NULL,"19507"
142,"CranK","최재원","Choi Jae Won","1989-08-29","KR","P","1434",154,"19355"
59,"BBoongBBoong","최종혁","Choi Jong Hyuk","1988-08-05","KR","Z","1588",NULL,"19124"
40,"Happy","안호진","Ahn Ho Jin","1991-01-22","KR","T","1377",NULL,"18993"
61,"Sleep","김성한","Kim Seong Han","1992-09-16","KR","Z","1392",NULL,"18982"
1171,"Strange","Алексей Соляков","Alexey Solyakov","1997-03-04","RU","P","2570",36,"18601"
25,"CoCa","최종환","Choi Jong Hwan","1994-04-14","KR","Z","1773",NULL,"18598"
67,"Lucky","이인수","Lee In Soo","1991-12-02","KR","Z","1413",NULL,"18263"
183,"Bischu","Jesper Johansson",NULL,"1990-01-18","SE","P","1358",NULL,"18159"
12918,"MilkiCow","Илья Потапов","Ilya Potapov","2003-02-19","RU","T","2038",73,"18104"
6937,"Guru","Szymon Nieciąg",NULL,"1994-05-12","PL","Z","1949",NULL,"17946"
162,"DarKFoRcE","Jonathan Belke",NULL,NULL,"DE","Z","1255",NULL,"17611"
9338,"eGGz","Sebastián Latorre",NULL,"1999-08-22","CO","Z","2077",NULL,"17538"
5114,"Cloudy","高源","Gao Yuan","1994-04-20","CN","P","1712",NULL,"17390"
5635,"Shana","王雨伦","Wang Yulun","1997-07-08","CN","T","1579",NULL,"17370"
181,"Bulldozer","서기수","Seo Ki Soo","1984-11-29","KR","P","1139",NULL,"17316"
9299,"TeebuL","Haseeb Ishaq",NULL,NULL,"UK","P","1748",NULL,"17123"
122,"Clide","한규종","Han Kyu Jong","1987-11-04","KR","T","1201",NULL,"17043"
253,"anypro","이정환","Lee Jung Hwan","1987-08-19","KR","P","1111",NULL,"16829"
4455,"NXZ","Ryan Jones","","1996-06-16","AU","Z","1585",NULL,"16536"
217,"LoveCD","李俊峰","Li Junfeng",NULL,"CN","P","1378",NULL,"16257"
6235,"ArT","Tymoteusz Makaran",NULL,"1997-10-18","PL","P","2156",64,"16186"
66,"Sage","우경철","Woo Kyung Chul","1990-11-21","KR","P","1864",NULL,"16067"
245,"State","Ryan Visbeck","","1992-09-24","US","P","1463",NULL,"15923"
98,"YugiOh","정승일","Jung Seung Il","1992-06-17","KR","Z","1605",NULL,"15785"
149,"Sheth","Shawn Simon",NULL,"1988-10-11","US","Z","1216",NULL,"15597"
64,"Sting","주훈","Joo Hoon",NULL,"KR","T","1518",NULL,"15539"
33,"Puzzle","김상준","Kim Sang Jun","1992-10-02","KR","P","2016",NULL,"15352"
1656,"Starbuck","Matic Dejak","","1997-01-30","SI","Z","2035",NULL,"15341"
97,"LiveZerg","Андрей Гульдяшов","Andrey Guldyashov","1992-05-03","RU","Z","1562",NULL,"15113"
295,"CatZ","Paulo Vizcarra","","1986-07-04","PE","Z","1569",NULL,"14642"
239,"Stork","송병구","Song Byung Goo","1988-08-04","KR","P","1737",NULL,"14451"
213,"Apocalypse","김민형","Kim Min Hyeong",NULL,"KR","T","1800",NULL,"14106"
904,"Blysk","Thomas Kopankiewicz","","1995-11-23","SG","P","1594",NULL,"13971"
8958,"Epic","Alex Damain","",NULL,"US","T","2105",67,"13874"
437,"Slam","劉彥呈","Liu Yancheng","1990-05-10","TW","Z","1293",NULL,"13809"
134,"Virus","박준용","Park Joon Yong","1992-10-26","KR","T","1208",NULL,"13638"
9237,"MCanning","Chris Canning","",NULL,"US","P","1800",NULL,"13575"
315,"Infi","王诩文","Wang Xuwen","1989-09-14","CN","T","1042",NULL,"13524"
458,"Forte","김기용","Kim Ki Yong","1996-12-26","KR","T","1995",NULL,"13372"
260,"MaFia","Timothy He",NULL,NULL,"AU","Z","1650",NULL,"13346"
108,"Feast","Jérémy Vansnick",NULL,"1993-06-14","BE","P","1339",NULL,"13321"
96,"Daisy","이종혁","Lee Jong Hyuk","1991-09-25","KR","P","1416",NULL,"13311"
2102,"Bails","Bailey Thomas",NULL,"1996-06-25","US","P","1621",NULL,"13168"
180,"TT1","Payam Toghyan",NULL,"1988-03-18","CA","P","1259",NULL,"13140"
3608,"Ein","高坤","Gao Kun","1990-04-11","CN","T","1522",NULL,"12958"
227,"ClouD","Carlo Giannacco",NULL,"1987-05-31","IT","T","1216",NULL,"12947"
53,"fraer","Ігор Турчин","Igor Turchin","1991-11-18","RU","P","1544",NULL,"12879"
7555,"Ryu","Eduard Condori",NULL,NULL,"PE","Z","1961",NULL,"12376"
166,"Check","이형주","Lee Hyung Joo","1986-02-14","KR","Z","1346",NULL,"12365"
285,"XluoS","宋迎","Song Ying","1990-02-20","CN","P","1245",NULL,"12364"
2966,"Bioice","Jackson Wroblewski",NULL,NULL,"CA","Z","1835",95,"12337"
481,"DeParture","현성민","Hyun Sung Min","1995-08-22","KR","Z","1998",NULL,"12327"
30,"NAKSEO","탁현승","Tak Hyun Seung","1994-03-29","KR","Z","1515",NULL,"12274"
143,"Choya","이형섭","Lee Hyung Sup","1988-08-08","KR","P","1212",NULL,"12255"
1663,"Check","김민규","Kim Min Kyu","1993-01-05","KR","Z","1590",NULL,"12176"
6459,"NoRegreT","Jake Umpleby",NULL,"1996-03-25","CA","Z","1610",NULL,"12118"
4740,"Pezz","Jack Perry",NULL,NULL,"AU","P","1840",NULL,"12027"
102,"LoWeLy","Антон Плебановіч","Anton Plebanovich","1986-10-02","BY","Z","1325",NULL,"11991"
